symbol,entry_date,exit_date,entry_price,exit_price,return_pct,spy_return_pct,excess_pct,days_held,exit_reason
FIX.US,2025-05-05,2025-08-12,434.06,717.28,65.25,14.39,50.86,68,Stale (63d timer)
STRL.US,2025-05-06,2025-08-12,171.95,308.4,79.35,15.35,64.0,67,Stale (63d timer)
EME.US,2025-05-06,2025-08-13,432.46,616.11,42.47,15.75,26.72,68,Stale (63d timer)
CR.US,2025-05-05,2025-08-20,166.47,189.3,13.71,13.58,0.14,74,Stale (63d timer)
FOXA.US,2025-08-14,2025-10-10,59.32,56.99,-3.93,1.53,-5.47,40,Score deterioration
FFIV.US,2025-10-14,2025-11-13,343.17,238.87,-30.39,1.48,-31.87,22,Score deterioration
QLYS.US,2025-11-17,2025-12-16,139.46,143.57,2.95,1.98,0.96,20,Score deterioration
NXT.US,2025-05-13,2025-12-31,54.09,87.11,61.05,17.22,43.83,160,Simulation end
MU.US,2025-08-13,2025-12-31,124.14,285.41,129.91,6.35,123.56,97,Simulation end
JKHY.US,2025-08-22,2025-12-31,163.82,181.82,10.99,6.28,4.71,90,Simulation end
RMBS.US,2025-07-31,2025-12-31,73.93,91.89,24.29,8.5,15.79,106,Simulation end
UTHR.US,2025-12-22,2025-12-31,513.79,487.25,-5.17,-0.42,-4.74,6,Simulation end
STX.US,2025-06-12,2025-12-31,124.68,275.39,120.87,13.93,106.94,139,Simulation end
FOX.US,2025-08-14,2025-12-31,54.01,64.58,19.56,6.34,13.23,96,Simulation end
APH.US,2025-07-21,2025-12-31,103.16,134.87,30.74,9.08,21.66,114,Simulation end
NVDA.US,2025-05-14,2025-12-31,135.31,186.49,37.83,17.07,20.76,159,Simulation end
FSLR.US,2025-05-14,2025-12-31,192.98,261.23,35.37,17.07,18.3,159,Simulation end
